class,mean_len_txts,mean_len_words,1_grama,2_grama,3_grama
"OBRES PÚBLIQUES I INFRAESTRUCTURES","189","9.5","[('obres', 1902), ('valència', 1864), ('este', 1632), ('comunitat', 1075), ('milions', 1042), ('sha', 943)]","[('milions deuros', 663), ('comunitat valenciana', 657), ('este matí', 481), ('president generalitat', 334), ('medi ambient', 275), ('port valència', 240)]","[('transvasament xúquer vinalopó', 94), ('ministeri medi ambient', 84), ('pressupost milions deuros', 83), ('inversió milions deuros', 81), ('generalitat francesc camps', 80), ('president generalitat francesc', 80)]"
"TREBALL","185","9.625","[('treball', 2593), ('treballadors', 1832), ('persones', 1801), ('comunitat', 1770), ('valenciana', 1492), ('este', 1460)]","[('comunitat valenciana', 1212), ('llocs treball', 510), ('este matí', 402), ('seguretat social', 331), ('persona cargo', 260), ('cargo informatius', 260)]","[('persona cargo informatius', 260), ('lenquesta població activa', 127), ('new persona cargo', 76), ('conveni col lectiu', 59), ('dades lenquesta població', 58), ('comunitat valenciana persones', 57)]"
"GASTRONOMIA","193","8.148148148148149","[('tall', 1310), ('cuina', 722), ('este', 694), ('millor', 391), ('valència', 376), ('plats', 356)]","[('quique dacosta', 91), ('comunitat valenciana', 90), ('ricard camarena', 69), ('jornades gastronòmiques', 69), ('este matí', 62), ('estrela michelin', 56)]","[('persona cargo informatius', 40), ('universitat politècnica valència', 20), ('josé san román', 19), ('maría josé san', 13), ('congrés millor gastronomia', 13), ('valència cuina oberta', 12)]"
"RELIGIÓ","185","8.75","[('papa', 1800), ('sant', 1302), ('valència', 1125), ('este', 1059), ('pau', 799), ('santa', 785)]","[('joan pau', 639), ('benet xvi', 538), ('mare déu', 472), ('pau ii', 396), ('setmana santa', 368), ('este matí', 333)]","[('joan pau ii', 393), ('papa joan pau', 216), ('plaça sant pere', 172), ('papa benet xvi', 163), ('trobada mundial famílies', 116), ('mare déu desemparats', 102)]"
"MEDICINA I SANITAT","199","10.0","[('persones', 5328), ('tall', 5266), ('comunitat', 4877), ('este', 4624), ('sanitat', 4494), ('casos', 4477)]","[('comunitat valenciana', 3409), ('conselleria sanitat', 1196), ('este matí', 742), ('ministeri sanitat', 712), ('pel fa', 711), ('lhospital fe', 648)]","[('lorganització mundial salut', 371), ('lhospital fe valència', 355), ('persona cargo informatius', 242), ('coronavirus comunitat valenciana', 198), ('lhospital general valència', 157), ('conselleria sanitat universal', 146)]"
"LITERATURA","198","8.433333333333334","[('premi', 462), ('novel', 397), ('anys', 324), ('llibre', 292), ('tall', 278), ('valència', 255)]","[('novel la', 176), ('miguel hernández', 63), ('premi nacional', 51), ('fa anys', 48), ('premi cervantes', 45), ('fira llibre', 43)]","[('persona cargo informatius', 34), ('isabel clara simó', 34), ('premi nacional lletres', 20), ('fira llibre valència', 20), ('premis literaris ciutat', 17), ('lacadèmia valenciana llengua', 17)]"
"CIÈNCIA I INVESTIGACIÓ","207","9.32","[('este', 1370), ('valència', 1207), ('tall', 1037), ('espacial', 858), ('anys', 778), ('universitat', 775)]","[('lestació espacial', 262), ('universitat politècnica', 252), ('espacial internacional', 223), ('politècnica valència', 214), ('universitat valència', 209), ('comunitat valenciana', 209)]","[('lestació espacial internacional', 210), ('universitat politècnica valència', 197), ('lagència espacial europea', 101), ('persona cargo informatius', 98), ('cèl lules mare', 92), ('fa milions danys', 65)]"
"URBANISME I HABITATGE","191","9.030303030303031","[('valència', 2650), ('vivendes', 1565), ('este', 1498), ('lajuntament', 1410), ('ciutat', 1257), ('tall', 1201)]","[('comunitat valenciana', 492), ('lajuntament valència', 415), ('metres quadrats', 367), ('este matí', 353), ('milions deuros', 258), ('fa anys', 245)]","[('persona cargo informatius', 138), ('vivendes protecció oficial', 84), ('ciutat arts ciències', 59), ('new persona cargo', 54), ('centre històric valència', 47), ('lavinguda blasco ibáñez', 46)]"
"MISCEL·LÀNIA","155","8.0","[('off', 202), ('reuters', 184), ('persona', 162), ('informatius', 155), ('cargo', 152), ('este', 135)]","[('persona cargo', 152), ('cargo informatius', 152), ('off video', 128), ('reuters persona', 72), ('new persona', 66), ('informatius new', 54)]","[('persona cargo informatius', 152), ('reuters persona cargo', 70), ('new persona cargo', 64), ('cargo informatius new', 54), ('informatius new persona', 52), ('banda musica fotos', 20)]"
"DEFENSA","187","8.4375","[('militar', 452), ('militars', 430), ('este', 423), ('soldats', 387), ('defensa', 379), ('lexèrcit', 324)]","[('este matí', 140), ('forces armades', 134), ('ministre defensa', 87), ('ministeri defensa', 83), ('tropes espanyoles', 77), ('guàrdia civil', 67)]","[('dia forces armades', 49), ('rei joan carles', 35), ('base militar bétera', 21), ('defensa federico trillo', 20), ('ministre defensa federico', 19), ('defensa carme chacón', 19)]"
"TAUROMÀQUIA","171","7.886363636363637","[('bous', 147), ('plaça', 109), ('bou', 93), ('tall', 80), ('josé', 53), ('torero', 52)]","[('plaça bous', 45), ('josé tomás', 31), ('porta gran', 22), ('bous carrer', 16), ('comunitat valenciana', 12), ('este matí', 11)]","[('plaça bous valència', 10), ('eixir porta gran', 5), ('vore josé tomás', 5), ('luis francisco esplà', 5), ('miguel ángel perera', 4), ('tribunal superior justícia', 3)]"
"RECURSOS TERRITORIALS","185","8.666666666666666","[('tall', 73), ('valenciana', 52), ('este', 52), ('valència', 50), ('comunitat', 49), ('laigua', 48)]","[('comunitat valenciana', 40), ('persona cargo', 22), ('cargo informatius', 22), ('instal lacions', 14), ('fa anys', 12), ('hectòmetres cúbics', 10)]","[('persona cargo informatius', 22), ('confederació hidrogràfica xúquer', 9), ('tall ester forner', 6), ('transvasament hectòmetres cúbics', 5), ('perill dinundació solsides', 4), ('cargo informatius stefan', 4)]"
"ACTUALITAT ROSA","176","7.551724137931035","[('anys', 109), ('este', 55), ('sha', 48), ('fa', 48), ('parella', 46), ('món', 46)]","[('nova york', 20), ('carla bruni', 16), ('penélope cruz', 15), ('fa anys', 14), ('kate moss', 13), ('pel lícula', 13)]","[('penélope cruz javier', 5), ('cruz javier bardem', 5), ('príncep carles danglaterra', 4), ('revista vanity fair', 4), ('off videoamb off', 3), ('reina isabel ii', 3)]"
